Date,Name,Type,Country Name,Country Code
2023-01-01,New Year's Day,['Local holiday'],United States,US
2023-01-01,New Year's Day,['Local holiday'],United States,US
2023-01-01,New Year's Day,['Local holiday'],United States,US
2023-01-01,New Year's Day,['Local holiday'],United States,US
2023-01-01,New Year's Day,['National holiday'],United States,US
2023-01-02,New Year's Day (substitute),['Local holiday'],United States,US
2023-01-02,New Year's Day (substitute),['National holiday'],United States,US
2023-01-02,New Year's Day (substitute),['Local holiday'],United States,US
2023-01-02,New Year's Day (substitute),['Local holiday'],United States,US
2023-01-03,Asarah B'Tevet,['Hebrew'],United States,US
2023-01-04,World Braille Day,['United Nations observance'],United States,US
2023-01-06,Epiphany,['Christian'],United States,US
2023-01-07,Orthodox Christmas Day,['Orthodox'],United States,US
2023-01-07,International Programmers' Day,['Worldwide observance'],United States,US
2023-01-07,Estelle Reel Day,['Local observance'],United States,US
2023-01-08,Battle of New Orleans,['Local observance'],United States,US
2023-01-13,Friday the 13th,['Worldwide observance'],United States,US
2023-01-13,Stephen Foster Memorial Day,['Observance'],United States,US
2023-01-14,Orthodox New Year,['Orthodox'],United States,US
2023-01-15,World Religion Day,['Worldwide observance'],United States,US
2023-01-16,Martin Luther King Jr. Day,['Local holiday'],United States,US
2023-01-16,Martin Luther King Jr. Day,['National holiday'],United States,US
2023-01-16,Robert E. Lee's Birthday,['Local holiday'],United States,US
2023-01-16,Robert E. Lee's Birthday,['Local holiday'],United States,US
2023-01-16,Idaho Human Rights Day,['Local holiday'],United States,US
2023-01-16,Civil Rights Day,['Local holiday'],United States,US
2023-01-16,Civil Rights Day,['Local holiday'],United States,US
2023-01-19,Robert E. Lee's Birthday,['Local observance'],United States,US
2023-01-19,State Holiday,['Local observance'],United States,US
2023-01-19,Confederate Heroes' Day,['Local holiday'],United States,US
2023-01-22,Lunar New Year,['Observance'],United States,US
2023-01-24,International Day of Education,['United Nations observance'],United States,US
2023-01-26,International Customs Day,['Worldwide observance'],United States,US
2023-01-27,International Day of Commemoration in Memory of the Victims of the Holocaust,['United Nations observance'],United States,US
2023-01-29,World Leprosy Day,['Worldwide observance'],United States,US
2023-01-29,Kansas Day,['Observance'],United States,US
2023-02-01,National Freedom Day,['Observance'],United States,US
2023-02-01,National Girls and Women in Sports Day,['Observance'],United States,US
2023-02-01,First Day of Black History Month,['Observance'],United States,US
2023-02-02,World Wetlands Day,['Worldwide observance'],United States,US
2023-02-02,Groundhog Day,['Observance'],United States,US
2023-02-03,National Wear Red Day,['Observance'],United States,US
2023-02-04,International Day of Human Fraternity,['United Nations observance'],United States,US
2023-02-04,World Cancer Day,['Worldwide observance'],United States,US
2023-02-04,Rosa Parks Day,['Local observance'],United States,US
2023-02-04,Rosa Parks Day,['Local holiday'],United States,US
2023-02-04,Rosa Parks Day,['Local observance'],United States,US
2023-02-06,Tu Bishvat/Tu B'Shevat,['Hebrew'],United States,US
