"COU","Country","VAR","Variable","CO2","Country of origin","YEA","Year","Value","Flag Codes","Flags"
"AUS","Australia","TNBD","Total number of doctors","TOT","Total","2012","2012",75258,,
"AUS","Australia","TNBD","Total number of doctors","TOT","Total","2013","2013",77974,,
"AUS","Australia","TNBD","Total number of doctors","TOT","Total","2014","2014",80968,,
"AUS","Australia","TNBD","Total number of doctors","TOT","Total","2015","2015",83490,,
"AUS","Australia","TNBD","Total number of doctors","TOT","Total","2016","2016",86550,,
"AUS","Australia","TNBD","Total number of doctors","TOT","Total","2017","2017",90417,,
"AUS","Australia","TNBD","Total number of doctors","TOT","Total","2018","2018",93604,,
"AUS","Australia","TNBD","Total number of doctors","TOT","Total","2019","2019",97039,,
"AUS","Australia","TNBD","Total number of doctors","TOT","Total","2020","2020",100260,,
"AUS","Australia","TNBD","Total number of doctors","TOT","Total","2021","2021",103196,,
"AUS","Australia","DTRD","Domestically-trained doctors","TOT","Total","2012","2012",46938,,
"AUS","Australia","DTRD","Domestically-trained doctors","TOT","Total","2013","2013",48405,,
"AUS","Australia","DTRD","Domestically-trained doctors","TOT","Total","2014","2014",51210,,
"AUS","Australia","DTRD","Domestically-trained doctors","TOT","Total","2015","2015",53503,,
"AUS","Australia","DTRD","Domestically-trained doctors","TOT","Total","2016","2016",55727,,
"AUS","Australia","DTRD","Domestically-trained doctors","TOT","Total","2017","2017",58521,,
"AUS","Australia","DTRD","Domestically-trained doctors","TOT","Total","2018","2018",60437,,
"AUS","Australia","DTRD","Domestically-trained doctors","TOT","Total","2019","2019",62638,,
"AUS","Australia","DTRD","Domestically-trained doctors","TOT","Total","2020","2020",65204,,
"AUS","Australia","DTRD","Domestically-trained doctors","TOT","Total","2021","2021",67531,,
"AUS","Australia","FTDS","Foreign-trained doctors - Stock","TOT","Total","2012","2012",24892,,
"AUS","Australia","FTDS","Foreign-trained doctors - Stock","TOT","Total","2013","2013",23159,,
"AUS","Australia","FTDS","Foreign-trained doctors - Stock","TOT","Total","2014","2014",25694,,
"AUS","Australia","FTDS","Foreign-trained doctors - Stock","TOT","Total","2015","2015",27008,,
"AUS","Australia","FTDS","Foreign-trained doctors - Stock","TOT","Total","2016","2016",28283,,
"AUS","Australia","FTDS","Foreign-trained doctors - Stock","TOT","Total","2017","2017",29000,,
"AUS","Australia","FTDS","Foreign-trained doctors - Stock","TOT","Total","2018","2018",30383,,
"AUS","Australia","FTDS","Foreign-trained doctors - Stock","TOT","Total","2019","2019",31579,,
"AUS","Australia","FTDS","Foreign-trained doctors - Stock","TOT","Total","2020","2020",32379,,
"AUS","Australia","FTDS","Foreign-trained doctors - Stock","TOT","Total","2021","2021",33216,,
"AUS","Australia","UUUD","Unknown place of training (doctors)","TOT","Total","2012","2012",3427,,
"AUS","Australia","UUUD","Unknown place of training (doctors)","TOT","Total","2013","2013",6410,,
"AUS","Australia","UUUD","Unknown place of training (doctors)","TOT","Total","2014","2014",4064,,
"AUS","Australia","UUUD","Unknown place of training (doctors)","TOT","Total","2015","2015",2979,,
"AUS","Australia","UUUD","Unknown place of training (doctors)","TOT","Total","2016","2016",2540,,
"AUS","Australia","UUUD","Unknown place of training (doctors)","TOT","Total","2017","2017",2896,,
"AUS","Australia","UUUD","Unknown place of training (doctors)","TOT","Total","2018","2018",2784,,
"AUS","Australia","UUUD","Unknown place of training (doctors)","TOT","Total","2019","2019",2822,,
"AUS","Australia","UUUD","Unknown place of training (doctors)","TOT","Total","2020","2020",2677,,
"AUS","Australia","UUUD","Unknown place of training (doctors)","TOT","Total","2021","2021",2449,,
"AUS","Australia","SFTD","% of foreign-trained doctors","TOT","Total","2012","2012",33.076,,
"AUS","Australia","SFTD","% of foreign-trained doctors","TOT","Total","2013","2013",29.701,,
"AUS","Australia","SFTD","% of foreign-trained doctors","TOT","Total","2014","2014",31.734,,
"AUS","Australia","SFTD","% of foreign-trained doctors","TOT","Total","2015","2015",32.349,,
"AUS","Australia","SFTD","% of foreign-trained doctors","TOT","Total","2016","2016",32.678,,
"AUS","Australia","SFTD","% of foreign-trained doctors","TOT","Total","2017","2017",32.074,,
"AUS","Australia","SFTD","% of foreign-trained doctors","TOT","Total","2018","2018",32.46,,
"AUS","Australia","SFTD","% of foreign-trained doctors","TOT","Total","2019","2019",32.543,,
"AUS","Australia","SFTD","% of foreign-trained doctors","TOT","Total","2020","2020",32.3,,
"AUS","Australia","SFTD","% of foreign-trained doctors","TOT","Total","2021","2021",32.19,,
"AUS","Australia","IFTD","Foreign-trained doctors - Annual inflow","TOT","Total","2014","2014",2685,,
"AUS","Australia","IFTD","Foreign-trained doctors - Annual inflow","TOT","Total","2015","2015",2717,,
"AUS","Australia","IFTD","Foreign-trained doctors - Annual inflow","TOT","Total","2016","2016",2726,,
"AUS","Australia","IFTD","Foreign-trained doctors - Annual inflow","TOT","Total","2017","2017",2695,,
"AUS","Australia","IFTD","Foreign-trained doctors - Annual inflow","TOT","Total","2018","2018",2954,,
"AUS","Australia","IFTD","Foreign-trained doctors - Annual inflow","TOT","Total","2019","2019",2993,,
"AUS","Australia","IFTD","Foreign-trained doctors - Annual inflow","TOT","Total","2020","2020",2009,,
"AUS","Australia","IFTD","Foreign-trained doctors - Annual inflow","TOT","Total","2021","2021",2450,,
"AUS","Australia","TNBN","Total number of nurses","TOT","Total","2013","2013",257189,"B","Break"
"AUS","Australia","TNBN","Total number of nurses","TOT","Total","2014","2014",264876,,
"AUS","Australia","TNBN","Total number of nurses","TOT","Total","2015","2015",271151,,
"AUS","Australia","TNBN","Total number of nurses","TOT","Total","2016","2016",279789,,
"AUS","Australia","TNBN","Total number of nurses","TOT","Total","2017","2017",287405,,
"AUS","Australia","TNBN","Total number of nurses","TOT","Total","2018","2018",297807,,
"AUS","Australia","TNBN","Total number of nurses","TOT","Total","2019","2019",309906,,
"AUS","Australia","TNBN","Total number of nurses","TOT","Total","2020","2020",315017,,
"AUS","Australia","TNBN","Total number of nurses","TOT","Total","2021","2021",328982,,
"AUS","Australia","DTRN","Domestically-trained nurses","TOT","Total","2013","2013",193249,"B","Break"
"AUS","Australia","DTRN","Domestically-trained nurses","TOT","Total","2014","2014",210980,,
"AUS","Australia","DTRN","Domestically-trained nurses","TOT","Total","2015","2015",217108,,
"AUS","Australia","DTRN","Domestically-trained nurses","TOT","Total","2016","2016",224447,,
"AUS","Australia","DTRN","Domestically-trained nurses","TOT","Total","2017","2017",230609,,
"AUS","Australia","DTRN","Domestically-trained nurses","TOT","Total","2018","2018",238499,,
"AUS","Australia","DTRN","Domestically-trained nurses","TOT","Total","2019","2019",247971,,
"AUS","Australia","DTRN","Domestically-trained nurses","TOT","Total","2020","2020",252127,,
"AUS","Australia","DTRN","Domestically-trained nurses","TOT","Total","2021","2021",264469,,
"AUS","Australia","FTNS","Foreign-trained nurses - Stock","TOT","Total","2013","2013",44283,"B","Break"
"AUS","Australia","FTNS","Foreign-trained nurses - Stock","TOT","Total","2014","2014",48533,,
"AUS","Australia","FTNS","Foreign-trained nurses - Stock","TOT","Total","2015","2015",49126,,
"AUS","Australia","FTNS","Foreign-trained nurses - Stock","TOT","Total","2016","2016",51180,,
"AUS","Australia","FTNS","Foreign-trained nurses - Stock","TOT","Total","2017","2017",52860,,
"AUS","Australia","FTNS","Foreign-trained nurses - Stock","TOT","Total","2018","2018",53784,,
"AUS","Australia","FTNS","Foreign-trained nurses - Stock","TOT","Total","2019","2019",56220,,
"AUS","Australia","FTNS","Foreign-trained nurses - Stock","TOT","Total","2020","2020",56927,,
"AUS","Australia","FTNS","Foreign-trained nurses - Stock","TOT","Total","2021","2021",59665,,
"AUS","Australia","UUUN","Unknown place of training (nurses)","TOT","Total","2013","2013",19657,"B","Break"
"AUS","Australia","UUUN","Unknown place of training (nurses)","TOT","Total","2014","2014",5363,,
"AUS","Australia","UUUN","Unknown place of training (nurses)","TOT","Total","2015","2015",4917,,
"AUS","Australia","UUUN","Unknown place of training (nurses)","TOT","Total","2016","2016",4162,,
"AUS","Australia","UUUN","Unknown place of training (nurses)","TOT","Total","2017","2017",3936,,
"AUS","Australia","UUUN","Unknown place of training (nurses)","TOT","Total","2018","2018",5524,,
"AUS","Australia","UUUN","Unknown place of training (nurses)","TOT","Total","2019","2019",5715,,
"AUS","Australia","UUUN","Unknown place of training (nurses)","TOT","Total","2020","2020",5963,,
"AUS","Australia","UUUN","Unknown place of training (nurses)","TOT","Total","2021","2021",4848,,
"AUS","Australia","SFTN","% of foreign-trained nurses","TOT","Total","2013","2013",17.218,"B","Break"
"AUS","Australia","SFTN","% of foreign-trained nurses","TOT","Total","2014","2014",18.323,,
"AUS","Australia","SFTN","% of foreign-trained nurses","TOT","Total","2015","2015",18.118,,
"AUS","Australia","SFTN","% of foreign-trained nurses","TOT","Total","2016","2016",18.292,,
"AUS","Australia","SFTN","% of foreign-trained nurses","TOT","Total","2017","2017",18.392,,
"AUS","Australia","SFTN","% of foreign-trained nurses","TOT","Total","2018","2018",18.06,,
"AUS","Australia","SFTN","% of foreign-trained nurses","TOT","Total","2019","2019",18.141,,
"AUS","Australia","SFTN","% of foreign-trained nurses","TOT","Total","2020","2020",18.07,,
"AUS","Australia","SFTN","% of foreign-trained nurses","TOT","Total","2021","2021",18.14,,
"AUT","Austria","TNBD","Total number of doctors","TOT","Total","2010","2010",33042,,
"AUT","Austria","TNBD","Total number of doctors","TOT","Total","2011","2011",33656,,
"AUT","Austria","TNBD","Total number of doctors","TOT","Total","2012","2012",34491,,
"AUT","Austria","TNBD","Total number of doctors","TOT","Total","2013","2013",35842,,
"AUT","Austria","TNBD","Total number of doctors","TOT","Total","2014","2014",36772,,
