Date,Name,Type,Country Name,Country Code
2023-01-01,New Year's Day,['National holiday'],Portugal,PT
2023-02-14,Valentine's Day,['Observance'],Portugal,PT
2023-02-21,Carnival / Shrove Tuesday / Pancake Day,['Common local holiday'],Portugal,PT
2023-03-19,St. Joseph's Day,['Local holiday'],Portugal,PT
2023-03-19,Father's Day,['Observance'],Portugal,PT
2023-03-20T21:24:20+00:00,March Equinox,['Season'],Portugal,PT
2023-03-26T01:00:00+00:00,Daylight Saving Time starts,['Clock change/Daylight Saving Time'],Portugal,PT
2023-04-07,Good Friday,['National holiday'],Portugal,PT
2023-04-09,Easter Sunday,['National holiday'],Portugal,PT
2023-04-25,Liberty Day,['National holiday'],Portugal,PT
2023-04-25,Our Lady of Mércoles,['Local holiday'],Portugal,PT
2023-05-01,Labor Day / May Day,['National holiday'],Portugal,PT
2023-05-07,Mother's Day,['Observance'],Portugal,PT
2023-05-12,St. Joana's Day,['Local holiday'],Portugal,PT
2023-05-18,Ascension Day,['Local holiday'],Portugal,PT
2023-05-22,Leiria Day,['Local holiday'],Portugal,PT
2023-05-23,Portalegre Day,['Local holiday'],Portugal,PT
2023-05-29,Azores Day,['Local holiday'],Portugal,PT
2023-06-08,Corpus Christi,['National holiday'],Portugal,PT
2023-06-10,Portugal Day,['National holiday'],Portugal,PT
2023-06-13,St. Anthony's Day,['Local holiday'],Portugal,PT
2023-06-21T15:57:49+01:00,June Solstice,['Season'],Portugal,PT
2023-06-24,St. John's Day,['Local holiday'],Portugal,PT
2023-06-29,St. Peter's Day,['Local holiday'],Portugal,PT
2023-07-01,Madeira Day,['Local holiday'],Portugal,PT
2023-07-04,St. Elizabeth's Day,['Local holiday'],Portugal,PT
2023-08-15,Assumption of Mary,['National holiday'],Portugal,PT
2023-08-20,Our Lady of Sorrows,['Local holiday'],Portugal,PT
2023-08-22,Our Lady of Graces,['Local holiday'],Portugal,PT
2023-09-07,Faro Day,['Local holiday'],Portugal,PT
2023-09-15,Birth of Bocage,['Local holiday'],Portugal,PT
2023-09-21,St. Matthew's Day,['Local holiday'],Portugal,PT
2023-09-23T07:50:01+01:00,September Equinox,['Season'],Portugal,PT
2023-10-05,Republic Day,['National holiday'],Portugal,PT
2023-10-29T02:00:00+01:00,Daylight Saving Time ends,['Clock change/Daylight Saving Time'],Portugal,PT
2023-11-01,All Saints' Day,['National holiday'],Portugal,PT
2023-11-27,Foral of Sancho I,['Local holiday'],Portugal,PT
2023-12-01,Restoration of Independence,['National holiday'],Portugal,PT
2023-12-08,Feast of the Immaculate Conception,['National holiday'],Portugal,PT
2023-12-22T03:27:21+00:00,December Solstice,['Season'],Portugal,PT
2023-12-24,Christmas Eve,['Observance'],Portugal,PT
2023-12-25,Christmas Day,['National holiday'],Portugal,PT
2023-12-31,New Year's Eve,['Observance'],Portugal,PT
