Date,Name,Type,Country Name,Country Code
2023-01-01,New Year's Day,['Local holiday'],United States,US
2023-01-02,New Year's Day (substitute),['Local holiday'],United States,US
2023-01-03,Asarah B'Tevet,['Hebrew'],United States,US
2023-01-04,World Braille Day,['United Nations observance'],United States,US
2023-01-06,Epiphany,['Christian'],United States,US
2023-01-07,Orthodox Christmas Day,['Orthodox'],United States,US
2023-01-08,Battle of New Orleans,['Local observance'],United States,US
2023-01-13,Friday the 13th,['Worldwide observance'],United States,US
2023-01-14,Orthodox New Year,['Orthodox'],United States,US
2023-01-15,World Religion Day,['Worldwide observance'],United States,US
2023-01-16,Martin Luther King Jr. Day,['Local holiday'],United States,US
2023-01-19,Robert E. Lee's Birthday,['Local observance'],United States,US
2023-01-22,Lunar New Year,['Observance'],United States,US
2023-01-24,International Day of Education,['United Nations observance'],United States,US
2023-01-26,International Customs Day,['Worldwide observance'],United States,US
2023-01-27,International Day of Commemoration in Memory of the Victims of the Holocaust,['United Nations observance'],United States,US
2023-01-29,World Leprosy Day,['Worldwide observance'],United States,US
2023-02-01,National Freedom Day,['Observance'],United States,US
2023-02-02,World Wetlands Day,['Worldwide observance'],United States,US
2023-02-03,National Wear Red Day,['Observance'],United States,US
2023-02-04,International Day of Human Fraternity,['United Nations observance'],United States,US
2023-02-06,Tu Bishvat/Tu B'Shevat,['Hebrew'],United States,US
2023-02-10,World Pulses Day,['United Nations observance'],United States,US
2023-02-11,International Day of Women and Girls in Science,['United Nations observance'],United States,US
2023-02-12,Lincoln's Birthday,['Local holiday'],United States,US
2023-02-13,World Radio Day,['United Nations observance'],United States,US
2023-02-14,Valentine's Day,['Observance'],United States,US
2023-02-15,Susan B. Anthony's Birthday,['Local observance'],United States,US
2023-02-16,Elizabeth Peratrovich Day,['Local holiday'],United States,US
2023-02-18,Maha Shivaratri,['Hinduism'],United States,US
2023-02-20,World Day of Social Justice,['United Nations observance'],United States,US
2023-02-21,International Mother Language Day,['United Nations observance'],United States,US
2023-02-22,Ash Wednesday,['Christian'],United States,US
2023-02-25,African-American Scientist and Inventor Day,['Local observance'],United States,US
2023-02-28,Linus Pauling Day,['Local observance'],United States,US
2023-03-01,Zero Discrimination Day,['United Nations observance'],United States,US
2023-03-02,Texas Independence Day,['Local holiday'],United States,US
2023-03-03,World Wildlife Day,['United Nations observance'],United States,US
2023-03-04,Casimir Pulaski Day,['Local observance'],United States,US
2023-03-06,Casimir Pulaski Day,['Local observance'],United States,US
2023-03-07,Holi,['Hinduism'],United States,US
2023-03-08,International Women's Day,['United Nations observance'],United States,US
2023-03-09,World Kidney Day,['Worldwide observance'],United States,US
2023-03-10,International Day of Women Judges,['United Nations observance'],United States,US
2023-03-12T02:00:00-05:00,Daylight Saving Time starts,['Clock change/Daylight Saving Time'],United States,US
2023-03-15,Long Covid Awareness Day,['Worldwide observance'],United States,US
2023-03-17,St. Patrick's Day,"['Observance', 'Christian']",United States,US
2023-03-20,French Language Day,['United Nations observance'],United States,US
2023-03-20T17:24:20-04:00,March Equinox,['Season'],United States,US
2023-03-21,International Day for the Elimination of Racial Discrimination,['United Nations observance'],United States,US
2023-03-22,World Water Day,['United Nations observance'],United States,US
2023-03-23,Ramadan Starts,['Muslim'],United States,US
2023-03-24,World Tuberculosis Day,['United Nations observance'],United States,US
2023-03-25,International Day of Remembrance of Slavery Victims and the Transatlantic Slave Trade,['United Nations observance'],United States,US
2023-03-26,Prince Jonah Kuhio Kalanianaole Day,['Local holiday'],United States,US
2023-03-27,Prince Jonah Kuhio Kalanianaole Day observed,['Local holiday'],United States,US
2023-03-29,National Vietnam War Veterans Day,['Observance'],United States,US
2023-03-30,Wyoming Veterans Welcome Home Day,['Local observance'],United States,US
2023-03-31,International Transgender Day of Visibility,['Worldwide observance'],United States,US
2023-04-01,April Fool's Day,['Worldwide observance'],United States,US
2023-04-02,Palm Sunday,['Christian'],United States,US
2023-04-03,Pascua Florida Day observed,['Local observance'],United States,US
2023-04-04,United Nations' Mine Awareness Day,['United Nations observance'],United States,US
2023-04-05,Passover Eve,['Hebrew'],United States,US
2023-04-06,Maundy Thursday,['Christian'],United States,US
2023-04-07,United Nations' World Health Day,['United Nations observance'],United States,US
2023-04-08,Holy Saturday,['Christian'],United States,US
2023-04-09,Easter Sunday,"['Observance', 'Christian']",United States,US
2023-04-10,Easter Monday,"['Observance', 'Christian']",United States,US
2023-04-12,International Day of Human Space Flight,['United Nations observance'],United States,US
2023-04-13,Last Day of Passover,['Hebrew'],United States,US
2023-04-14,Orthodox Good Friday,['Orthodox'],United States,US
2023-04-15,Orthodox Holy Saturday,['Orthodox'],United States,US
2023-04-16,Orthodox Easter,['Orthodox'],United States,US
2023-04-17,Lailat al-Qadr,['Muslim'],United States,US
2023-04-18,Yom HaShoah,['Hebrew'],United States,US
2023-04-20,Chinese Language Day,['United Nations observance'],United States,US
2023-04-21,Eid al-Fitr,['Muslim'],United States,US
2023-04-22,Earth Day,['United Nations observance'],United States,US
2023-04-23,World Book and Copyright Day,['United Nations observance'],United States,US
2023-04-24,International Day of Multilateralism and Diplomacy for Peace,['United Nations observance'],United States,US
2023-04-25,International Delegate's Day,['United Nations observance'],United States,US
2023-04-26,Yom Ha'atzmaut,['Hebrew'],United States,US
2023-04-27,International Girls in ICT Day,['United Nations observance'],United States,US
2023-04-28,World Day for Safety and Health at Work,['United Nations observance'],United States,US
2023-04-30,International Jazz Day,['United Nations observance'],United States,US
2023-05-01,Law Day,['Observance'],United States,US
2023-05-02,World Tuna Day,['United Nations observance'],United States,US
2023-05-03,World Press Freedom Day,['United Nations observance'],United States,US
2023-05-04,Kent State Shootings Remembrance,['Local observance'],United States,US
2023-05-05,Day of Vesak,['United Nations observance'],United States,US
2023-05-06,Kentucky Derby,['Sporting event'],United States,US
2023-05-07,International Family Equality Day,['Worldwide observance'],United States,US
