Nome,Vendas,Série,Data de Lançamento,Gênero,Desenvolvedor,Editora
Minecraft,33.0,Minecraft,Nov-11,"Sandbox, survival",Mojang Studios,Mojang Studios
Diablo III,20.0,Diablo,May-12,Action role-playing,Blizzard Entertainment,Blizzard Entertainment
World of Warcraft,14.0,Warcraft,Nov-04,MMORPG,Blizzard Entertainment,Blizzard Entertainment
Half-Life 2,12.0,Half-Life,Nov-04,First-person shooter,Valve,Valve (digital)
The Witcher 3: Wild Hunt,12.0,The Witcher,May-15,Action role-playing,CD Projekt Red,CD Projekt
StarCraft,11.0,StarCraft,Mar-98,Real-time strategy,Blizzard Entertainment,Blizzard Entertainment
The Sims,11.0,The Sims,Feb-00,Life simulation,Maxis,Electronic Arts
RollerCoaster Tycoon 3,10.0,RollerCoaster Tycoon,Oct-04,Construction and management simulation,Frontier Developments,"Atari, Inc. (Windows)"
Half-Life,9.0,Half-Life,Nov-98,First-person shooter,Valve,Sierra Entertainment
Civilization V,8.0,Civilization,Sep-10,"Turn-based strategy, 4X",Firaxis Games,2K Games & Aspyr
The Sims 3,7.0,The Sims,Jun-09,Life simulation,Maxis,Electronic Arts
Euro Truck Simulator 2,6.5,Truck Simulator,Oct-12,Vehicle simulation,SCS Software,SCS Software
Guild Wars,6.0,Guild Wars,Apr-05,MMORPG,ArenaNet,NCsoft
StarCraft II: Wings of Liberty,6.0,StarCraft,Jul-10,Real-time strategy,Blizzard Entertainment,Blizzard Entertainment
The Sims 2,6.0,The Sims,Sep-04,Life simulation,Maxis,Electronic Arts
Last Ninja 2,5.5,The Last Ninja,Aug-88,Action-adventure,System 3,Activision
ARMA 3,5.5,ARMA,Sep-13,Tactical shooter,Bohemia Interactive,Bohemia Interactive
Guild Wars 2,5.0,Guild Wars,Aug-12,MMORPG,ArenaNet,NCsoft
SimCity 3000,5.0,SimCity,Jan-99,City-building,Maxis,Electronic Arts
Diablo II,4.0,Diablo,Jun-00,Action role-playing,Blizzard North,Blizzard Entertainment
Populous,4.0,Populous,Jun-89,God game,Bullfrog Productions,Electronic Arts
RollerCoaster Tycoon,4.0,RollerCoaster Tycoon,Mar-99,Construction and management simulation,Chris Sawyer,MicroProse Software
The Last Ninja,4.0,The Last Ninja,Jun-05,Action-adventure,System 3,Activision
"Warhammer 40,000: Dawn of War (including expansions)",4.0,Warhammer,Sep-04,Real-time strategy,Relic Entertainment,THQ
Where in the World Is Carmen Sandiego?,4.0,Carmen Sandiego,Jun-85,Educational,Broderbund,Broderbund
Dark Souls,3.6,Dark Souls,Aug-12,Action role-playing,FromSoftware,Namco Bandai Games
Dark Souls III,3.3,Dark Souls,Apr-16,Action role-playing,FromSoftware,Bandai Namco Entertainment
EverQuest,3.0,EverQuest,Mar-99,MMORPG,Verant Interactive,Sony Online Entertainment
Warcraft III: Reign of Chaos,3.0,Warcraft,Jul-02,Real-time strategy,Blizzard Entertainment,Blizzard Entertainment (North America)
Theme Park,3.0,Theme Park,Jun-05,Construction and management simulation,Bullfrog Productions,Electronic Arts
Life Is Strange,3.0,Life Is Strange,Jan-15,Graphic adventure,Dontnod Entertainment,Square Enix
Age of Empires,3.0,Age of Empires,Oct-97,Real-time strategy,Ensemble Studios,Microsoft
Crysis,3.0,Crysis,Nov-07,First-person shooter,Crytek,Electronic Arts
Command & Conquer,3.0,Command & Conquer,Aug-95,Real-time strategy,Westwood Studios,Virgin Interactive
Civilization IV,3.0,Civilization,Oct-05,"Turn-based strategy, 4X",Firaxis Games,2K Games & Aspyr
Command & Conquer: Red Alert,3.0,Command & Conquer,Oct-96,Real-time strategy,Westwood Studios,Virgin Interactive
Dark Souls II,2.7,Dark Souls,Apr-14,Action role-playing,FromSoftware,Bandai Namco Games
Caesar II,2.5,Caesar,Sep-95,City-building game,Impressions Game,Sierra On-Line
Caesar III,2.5,Caesar,May-99,City-building game,Impressions Game,Sierra Studios
Lords of the Realm II,2.5,Lord of the Realm,Oct-96,Turn-based strategy,Impressions Game,Impressions Game
Myst,2.5,Myst,Sep-93,"Adventure, puzzle",Cyan,Brøderbund
Final Fantasy VII,2.1,Final Fantasy,Jun-98,Role-playing game,Square,Eidos Interactive
SimCity,2.0,SimCity,Mar-13,City-building,Electronic Arts,Electronic Arts
Far Cry,2.0,Far Cry,Mar-04,First-person shooter,Crytek,Ubisoft
Grand Theft Auto V,2.0,Grand Theft Auto,Apr-15,Action-adventure,Rockstar North,Rockstar Games
Mafia: The City of Lost Heaven,2.0,Mafia,Aug-02,Third-person shooter,Illusion Softworks,Gathering of Developers
Neverwinter Nights,2.0,Neverwinter Nights,Jun-02,Role-playing game,BioWare,Infogrames / Atari
POD,2.0,POD,Feb-97,Racing game,Ubisoft,Ubisoft
The Witcher 2: Assassins of Kings,2.0,The Witcher,May-11,Action role-playing,CD Projekt Red,CD Projekt
SimCity 4,2.0,SimCity,Jan-03,City-building,Maxis,Electronic Arts (Windows)
